URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/StereumSanguinolentum;Stereum sanguinolentum;krvaveča slojevka;Stéreum sanguinolentum (Alb. & Schwein.) Fr. (1838);neužitna
https://www.gobe.si/Lisaji/CladoniaRangiferina;Cladonia rangiferina;jelenova kladonija;;neužitna
https://www.gobe.si/Gobe/BoletusBadiorufus;Boletus badiorufus;vresin goban;Bolétus badiorúfus R. Heim (1960);užitna
https://www.gobe.si/Gobe/CalonariusNapus;Calonarius napus;sivolistni koprenar;Calonárius nápus (Fr.) Niskanen & Liimat. (2022);užitna
https://www.gobe.si/Gobe/CortinariusBadiolatus;Cortinarius badiolatus;datljeva koprenka;Cortinárius badiolátus (M.M. Moser) M.M. Moser (1967);užitna
https://www.gobe.si/Gobe/LeucoagaricusBarssii;Leucoagaricus barssii;korenčasti kukmakovec;Leucoagáricus bárssii (Zeller) Vellinga (2000);užitna
https://www.gobe.si/Gobe/SuillusLeptopus;Suillus leptopus;kratkobetna lupljivka;Suíllus léptopus A. Marchand (1971);užitna
https://www.gobe.si/Gobe/HygrophorusPonderatus;Hygrophorus ponderatus;stasita polževka;Hygróphorus ponderátus Britzelm. (1891);užitna
https://www.gobe.si/Gobe/LepistaVernicosa;Lepista vernicosa;firneževa kolesnica;Lepísta vernicósa (Fr.) Bon (1996);užitna
https://www.gobe.si/Gobe/AgaricusBenesii;Agaricus benesii;Benešev kukmak;Agáricus benésii (Pilát) Pilát (1951);užitna
https://www.gobe.si/Gobe/SuillusBresadolae;Suillus bresadolae;Bresadolova lupljivka;Suíllus bresádolae (Quél.) Gerhold (1985);<p>suíllus bresádolae (quél.) gerhold (1985);neužitna
https://www.gobe.si/Gobe/ThaxterogasterVariegatus;Thaxterogaster variegatus;večbarvna trebušarka;Thaxtérogáster variegátus (Bres.) Niskanen & Liimat. (2022);užitna
https://www.gobe.si/Gobe/RamariaRufescens;Ramaria rufescens;rdečkasta griva;Ramária ruféscens (Schäff.) Corner (1950);užitna
https://www.gobe.si/Gobe/TuberMelanosporum;Tuber melanosporum;perigordska gomoljika;Túber melanósporum Vittad. (1831);užitna
https://www.gobe.si/Gobe/AspropaxillusGiganteus;Aspropaxillus giganteus;orjaški velepodvihanec;Aspropaxíllus gigánteus (Sowerby) Kühner & Maire (1934);užitna
https://www.gobe.si/Gobe/HygrophorusDiscoxanthus;Hygrophorus discoxanthus;rumeneča polževka;Hygróphorus discoxánthus Rea (1908);užitna
https://www.gobe.si/Gobe/GymnopusOcior;Gymnopus ocior;žoltolistni korenovec;Gýmnopus ócior (Pers.) Antonín & Noordel. (1997);užitna
https://www.gobe.si/Gobe/RussulaRubroalba;Russula rubroalba;belobetna golobica;Rússula rubroálba (Singer) Romagn. (1967);užitna
https://www.gobe.si/Gobe/TricholomaHordum;Tricholoma hordum;vijoličnorjava kolobarnica;Tricholóma hórdum (Fr.) Quél. (1872);užitna
https://www.gobe.si/Gobe/RussulaVersatilis;Russula versatilis;(spreminjava golobica);Rússula versátilis Romagn. (1962);užitna
https://www.gobe.si/Gobe/LeccinumPiceinum;Leccinum piceinum;smrečji turek;Leccínum piceínum Pilát & Dermek (1974);užitna
https://www.gobe.si/Gobe/HygrophorusFagi;Hygrophorus fagi;bukova polževka;Hygróphorus fági G. Becker & Bon (1974);užitna
https://www.gobe.si/Gobe/PluteusLuctuosus;Pluteus luctuosus;rjavoroba ščitovka;Plúteus luctuósus Boud. (1905);užitna
https://www.gobe.si/Gobe/LactariusQuieticolor;Lactarius quieticolor;rjava sirovka;Lactárius quietícolor Romagn. (1958);užitna
https://www.gobe.si/Gobe/RussulaPuellaris;Russula puellaris;voščenolistna golobica;Rússula puelláris Fr. (1838);užitna
https://www.gobe.si/Gobe/CollybiaPorrea;Collybia porrea;porova korenovka;Collýbia pórrea (Pers.) P. Kumm. 1871;užitna
https://www.gobe.si/Gobe/TricholomaArgyraceum;Tricholoma argyraceum;srebrnkasta kolobarnica;Tricholóma argyráceum (Bull.) Gillet (1874);užitna
https://www.gobe.si/Gobe/LepistaOvispora;Lepista ovispora;šopasta kolesnica;Lepísta ovíspora (J.E. Lange) Gulden (1983);<p>lepísta ovíspora (j.e. lange) gulden (1983)
https://www.gobe.si/Gobe/HygrocybeCinerea;Hygrocybe cinerea;pepelnosiva vlažnica;Hygrócybe cinérea (Pers.) P.D. Orton & Watling (1969);užitna
https://www.gobe.si/Gobe/LyophyllumDeliberatum;Lyophyllum deliberatum;okajeni zajček;Lyophýllum deliberátum (Britzelm.) Kreisel (1984);užitna
https://www.gobe.si/Gobe/XerocomusQuercinus;Xerocomus quercinus;hrastova polstenka;Xerócomus quercínus H. Engel & T. Brückn. (1996);užitna
https://www.gobe.si/Gobe/RussulaHydrophila;Russula hydrophila;sivkastobetna golobica;Rússula hydróphila Horniček (1958);užitna
