1; 283905; Abortíporus biénnis; (Bull.) Singer (1944); dvoletni polluknjičar
2; 140891; Acrospermum compressum; Tode (1790); zelna lancetovka
3; 178389; Agáricus abruptibulbus; Peck (1905); odsekanodniščni kukmak
4; 282549; Agaricus altipes; (F. H. Møller) F. H. Møller (1951); dolgobetni kukmak
;sin; Agaricus aestivalis; (F. H. Møller) Pilát (1951); poletni kukmak
5; 308334; Agáricus amanitifórmis; Wasser (1974); mušničasti kukmak
6; 325880; Agaricus arvénsis; Schaff. (1774); poljski kukmak
;sin; Agaricus fissuratus; F H. Moller 1952; obmorski kukmak
;sin; Agaricus leucotrichus; F. H. Møller 1952; polsteni kukmak
7; 205947; Agaricus augustus; Fr. (1838); veličastni kukmak
8; 343998; Agaricus benesii; (Pilat) Pilat (1951); Benešev kukmak
;sin; Agaricus squamulifer; (F. H. Møller) Pilát 1951; naluskani kukmak
9; 176067; Agáricus bernárdii; Quél. (1878); Bernardov kukmak
10; 531546; Agaricus bisporus; (J.E. Lange) Imbach (1946); dvotrosni kukmak
;sin; Agaricus hortensis; (Cooke) S. Imai 1938; vrtni kukmak 
11; 213898; Agáricus bitórquis; (Quél.) Sacc. (1887); mestni kukmak
12; 108651; Agaricus bohusii; Bon (1983); šopasti kukmak
13; 315946; Agáricus bresadolánus; Bohus (1969); Bresadolov kukmak
;sin; Agaricus romagnesii; Wasser 1977; korenčasti kukmak
14; 356498; Agáricus campéstris; L. (1753); travniški kukmak
15; 132992; Agaricus cappelliánus; Hlavácek (1987); resasti kukmak
16; 292255; Agaricus chionodermus; Pilat (1951); belokožni kukmak
17; 197983; Agaricus comtulus; Fr. (1838); tratni kukmak
18; 292257; Agaricus cupreobrunneus; (Jul. Schaff. & Steer) Pilát (1951); bakreni kukmak
19; 224043; Agaricus dulcidulus; Schulzer (1874); osladni kukmak
;sin; Agaricus purpurellus; F.H. Møller 1952; teranasti kukmak
20; 292264; Agaricus fuscofibrillósus; (F. H. Møller) Pilat (1951);rjavovlaknati kukmak
21; 103001; Agaricus heimii; Bon (1985); zgodnji kukmak
