1.;283905;1;Abortiporus biennis;Abortíporus biénnis;dvoletni polluknjičar;NU;
2.;325880;6, 26;Agaricus arvensis;Agáricus arvénsis;poljski kukmak;U;obmorski kukmak, ovčar, ovčarka
3.;205947;7;Agaricus augustus;Agáricus augústus;veličastni kukmak;U;
4.;343998;10;Agaricus benesii;Agáricus benésii;naluskani kukmak;U;
5.;176067;11;Agaricus bernardii;Agáricus bernárdii;bernardov kukmak;U;
6.;292246;12;Agaricus bisporus;Agáricus bísporus;dvotrosni kukmak;U;gojitveni kukmak, šampinjon
7.;213898;14;Agaricus bitorquis;Agáricus bitórquis;mestni kukmak;U;
8.;108651;15;Agaricus bohusii;Agáricus bohúsii;šopasti kukmak;U;
9.;315946;48;Agaricus bresadolanus;Agáricus bresadolánus;bresadolov kukmak;S;korenčasti kukmak
10.;356498;18;Agaricus campestris;Agáricus campéstris;travniški kukmak;U;beli kukmak, lipika, navadni kukmak, pečenka, pečurka, pristni kukmak, šampinjon
11.;132992;58;Agaricus cappellianus;Agáricus cappelliánus;resasti kukmak;U;
12.;197983;21;Agaricus comtulus;Agáricus cómtulus;tratni kukmak;U;
13.;224043;23;Agaricus dulcidulus;Agáricus dulcídulus;osladni kukmak;U;
14.;292273;31;Agaricus brunneolus;Agáricus impudícus;smrdljivi kukmak;U;
15.;292278;32;Agaricus langei;Agáricus lángei;langejev kukmak;U;
16.;108645;33;Agaricus lanipes;Agáricus lánipes;šilasti kukmak;U;
17.;292285;36;Agaricus macrocarpus;Agáricus macrocárpus;čokati kukmak;U;
18.;308354;37;Agaricus macrosporus var. macrosporoides;Agáricus mácrosporoídes;košenični kukmak;U;
19.;308356;42, 44;Agaricus moelleri;Agáricus móelleri;moellerjev kukmak;S;rjavoluski kukmak, ščitkani kukmak
20.;292297;41;Agaricus osecanus;Agáricus osecánus;pobeljeni kukmak;U;
21.;325907;43;Agaricus porphyrizon;Agáricus porphyrízon;škrlatasti kukmak;U;
22.;181191;49;Agaricus rusiophyllus;Agáricus russiophýllus;rožnolistni kukmak;U;
23.;186975;50;Agaricus semotus;Agáricus semótus;pritlikavi kukmak;U;
24.;244265;51;Agaricus silvaticus;Agáricus sylváticus;gozdni kukmak;U;gozdna pečenka, gozdnarka, lipika, pečurka, rjavi kukmak, šampijon, šampinjon, šampinjon gozda
25.;283990;24, 52;Agaricus sylvicola;Agáricus sylvícola;hostni kukmak;U;odsekani kukmak
26.;455990;38;Agaricus urinascens var. urinascens;Agáricus urináscens;velikotrosni kukmak;U;
27.;466165;25;Agaricus urinascens var. excellens;Agáricus urináscens var. excéllens;velikotrosni kukmak, izvrstni različek;U;izvrstni kukmak
28.;155072;60;Agaricus xanthoderma;Agáricus xanthodérmus;karbolni kukmak;S;rumenolilasti kukmak
29.;292326;64;Agaricus xantholepis;Agáricus xanthólepis;žoltoluski kukmak;U;
30.;439297;66;Cyclocybe cylindracea;Agrócybe cylindrácea;topolova njivnica;U;topolovka
31.;356857;67;Agrocybe dura;Agrócybe dúra;trda njivnica;U;
32.;439293;69;Cyclocybe erebia;Agrócybe erébia;nažlebkana njivnica;U;
33.;355818;72;Agrocybe pediades;Agrócybe pedíades;polobla njivnica;NU;
34.;356699;71;Agrocybe praecox;Agrócybe praécox;rana njivnica;U;
35.;439300;73;Agrocybe praecox;Agrócybe sphaleromórpha;varljiva njivnica;NU;
36.;292349;75;Albatrellus confluens;Albatréllus cónfluens;zraščeni mesnatovec;U;žemljevka, žemljevec, pšenička, pšeničnica, zraščenka, žemljarica
37.;292350;76;Laeticutis cristata;Albatréllus cristátus;zeleni mesnatovec;U;dolenjski mavrah, gozdni vampi, luknjičarka, rjavozelena luknjičarka, zelenec
38.;292351;77;Albatrellus ovinus;Albatréllus ovínus;ovčji mesnatovec;U;ovčje vime, ovčje žemlje, ovčji gobček, ovčji gobec
39.;308435;2682;Albatrellus subrubescens;Albatréllus subrubéscens;rumeneči mesnatovec;U;
40.;473871;79;Aleuria aurantia;Aléuria aurántia;oranžna latvica;U;
41.;120817;81;Aleuria luteonitens;Aléuria luteónitens;žarnorumena latvica;NU;
42.;439663;82;Aleurocystidiellum disciforme;Aleurodíscus discíformis;diskasti kolutec;NU;
43.;292442;98;Amanita argentea;Amaníta argéntea;srebrni lupinar;PU;
44.;103034;87;Amanita battarrae;Amaníta battárrae;dvobarvni lupinar;PU;
45.;282978;88;Amanita beckeri;Amaníta béckeri;beckerjev lupinar;PU;
46.;208468;89;Amanita caesarea;Amaníta caesárea;knežja mušnica;U, Z, RS;blagva, žrdana, karželj, knez, bela oglavka, blagovna, jajček, jezeran, jordana, knez gob, knježna, oglavka, rujnica, škripec, turek
47.;107714;90;Amanita ceciliae;Amaníta cecíliae;pozlačeni lupinar;PU;
48.;417116;91;Amanita citrina var. citrina;Amaníta citrína;citronasta mušnica;PU;
49.;355549;66;Amanita citrina var. alba;Amaníta citrína var. álba;citronasta mušnica, beli različek;PU;
50.;115109;94;Amanita crocea;Amaníta crócea;oranžni lupinar;PU; 
51.;211344;95;Amanita echinocephala;Amaníta echinocéphala;ostrokrpa mušnica;S;
52.;211392;96;Amanita eliae;Amaníta elíae;elijeva mušnica;S;
53.;116784;119;Amanita excelsa;Amaníta excélsa;podaljšana mušnica;U;čokata mušnica, podaljšani različek
