 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
       1. Abortíporus biénnis (Bull.) Singer (1944)                            dvoletni polluknjičar                         NU

 2.     AGÁRICUS                                                           KUKMAKI
       2. Agáricus arvénsis Schaeff. (1774)                                    poljski kukmak                            U, 6, 26
       3. Agáricus augústus Fr. (1838)                                         veličastni kukmak                                U
       4. Agáricus benésii (Pilát) Pilát (1951)                                naluskani kukmak                                 U
       5. Agáricus bernárdii Quél. (1878)                                      bernardov kukmak                                 U
       6. Agáricus bísporus (J.E. Lange) Pilát (1951)                          dvotrosni kukmak                                 U
       7. Agáricus bitórquis (Quél.) Sacc. (1887)                              mestni kukmak                                    U
       8. Agáricus bohúsii Bon (1983)                                          šopasti kukmak                                   U
       9. Agáricus bresadolánus Bohus (1969)                                   bresadolov kukmak                            S, 48
      10. Agáricus campéstris L. (1753)                                        travniški kukmak                                 U
      11. Agáricus cappelliánus Hlaváček (1987)                                resasti kukmak                               U, 58
      12. Agáricus cómtulus Fr. (1838)                                         tratni kukmak                                    U
      13. Agáricus dulcídulus Schulzer (1874)                                  osladni kukmak                                   U
      14. Agáricus impudícus (Rea) Pilát (1951)                                smrdljivi kukmak                                 U
      15. Agáricus lángei (F.H. Møller) F.H. Møller (1952)                     langejev kukmak                                  U
      16. Agáricus lánipes (F.H. Møller & Jul. Schäff.) Hlaváček (1949)        šilasti kukmak                                   U
      17. Agáricus macrocárpus (F.H. Møller) F.H. Møller (1952)                čokati kukmak                                    U
      18. Agáricus mácrosporoídes Bohus (1974)                                 košenični kukmak                                 U
      19. Agáricus móelleri Wasser (1976)                                      moellerjev kukmak                        S, 42, 44
      20. Agáricus osecánus Pilát (1951)                                       pobeljeni kukmak                             U, 41
      21. Agáricus porphyrízon P.D. Orton (1960)                               škrlatasti kukmak                                U
      22. Agáricus russiophýllus Lasch (1828)                                  rožnolistni kukmak                               U
      23. Agáricus semótus Fr. (1863)                                          pritlikavi kukmak                                U
      24. Agáricus sylváticus Schaeff. (1833)                                  gozdni kukmak                                    U
      25. Agáricus sylvícola (Vittad.) Peck (1872)                             hostni kukmak                            U, 52, 24
      26. Agáricus urináscens (Jul. Schäff. & F.H. Møller) Singer (1951)       velikotrosni kukmak                          U, 38
      27. Agáricus urináscens var. excéllens (F.H. Møller) (2000)              velikotrosni kukmak, izvrstni različek       U, 25
      28. Agáricus xanthodérmus Genev. (1876)                                  karbolni kukmak                                  S
      29. Agáricus xanthólepis (F.H. Møller) F.H. Møller (1952)                žoltoluski kukmak                                U

 3.     AGRÓCYBE                                                           NJIVNICE
      30. Agrócybe cylindrácea (DC.) Maire (1938)                              topolova njivnica                               U
      31. Agrócybe dúra (Bolton) Singer (1936)                                 trda njivnica                                   U
      32. Agrócybe erébia (Fr.) Kühner ex Singer (1939)                        nažlebkana njivnica                             U
      33. Agrócybe pedíades (Fr.) Fayod (1889)                                 polobla njivnica                           NU, 72
      34. Agrócybe praécox (Pers.) Fayod (1889)                                rana njivnica                                   U
      35. Agrócybe sphaleromórpha (Bull.) Fayod (1889)                         varljiva njivnica                             NU

 4.     ALBATRÉLLUS                                                        MESNATOVCI
      36. Albatréllus cónfluens (Alb. & Schwein.) Kotl. & Pouzar (1957)        zraščeni mesnatovec                             U
      37. Albatréllus cristátus (Schaeff.) Kotl. & Pouzar (1957)               zeleni mesnatovec                               U
      38. Albatréllus ovínus (Schaeff.) Kotl. & Pouzar (1957)                  ovčji mesnatovec                                U
      39. Albatréllus subrubéscens (Murrill) Pouzar (1972)                     rumeneči mesnatovec                       U, 2682

 5.     ALÉURIA                                                            LATVICE
      40. Aléuria aurántia (Pers.) Fuckel (1870)                               oranžna latvica                                U
      41. Aléuria luteónitens (Berk. & Broome) Gillet (1886)                   žarnorumena latvica                           NU

 6.     ALEURODÍSCUS                                                       KOLUTCI
      42. Aleurodíscus discíformis (DC.) Pat. (1894)                           diskasti kolutec                              NU

 7.     AMANÍTA                                                            MUŠNICE, LUPINARJI
      43. Amaníta argéntea Huijsman (1959)                                     srebrni lupinar                            PU, 98


Mikološka zveza Slovenije                     OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                            9
      44. Amaníta battárrae (Boud.) Bon (1985)                              dvobarvni lupinar                              PU
      45. Amaníta béckeri Huijsman (1962)                                   beckerjev lupinar                              PU
      46. Amaníta caesárea (Scop.) Pers. (1801)                             knežja mušnica                           U, Z, RS
      47. Amaníta cecíliae (Berk. & Broome) Bas (1984)                      pozlačeni lupinar                              PU
      48. Amaníta citrína (Schaeff.) Pers. (1797)                           citronasta mušnica                             PU
      49. Amaníta citrína var. álba (Gillet) Rea (1922)                     citronasta mušnica, beli različek              PU
      50. Amaníta crócea (Quél.) Singer (1951)                              oranžni lupinar                                PU
      51. Amaníta echinocéphala (Vittad.) Quél. (1872)                      ostrokrpa mušnica                               S
      52. Amaníta elíae Quél. (1872)                                        elijeva mušnica                                 S
      53. Amaníta excélsa (Fr.) Bertill. (1866)                             podaljšana mušnica                         U, 119
      54. Amaníta excélsa var. spíssa (Fr.) Neville & Poumarat (2004)       podaljšana mušnica, čokati različek        U, 117
      55. Amaníta flavéscens (E.-J. Gilbert & S. Lundell) Contu (1988)      rumeneči lupinar                         PU, 126
      56. Amaníta franchétii (Boud.) Fayod (1889)                           hrapava mušnica                                 U
      57. Amaníta fúlva Fr. (1815)                                          rjavi lupinar                                  PU
      58. Amaníta fúsco-olivácea (Kühner ex Contu) Romagn. (1992)           olivnorjavi lupinar                            PU
      59. Amaníta gemmáta (Fr.) Bertill. (1866)                             medlorumena mušnica                             S
      60. Amaníta gracílior Bas & Honrubia (1982)                           koničastoluska mušnica                  UN, 2684
      61. Amaníta lepiotoídes Barla (1886)                                  dežnikasta mušnica                             UN
      62. Amaníta lívidopalléscens (Secr. ex Boud.) Kühner & Romagn. (1953) bledični lupinar                               PU
      63. Amaníta magnivolváta Aalto (1974)                                 rjavolupinasti lupinar                         PU
      64. Amaníta máirei Foley (1949)                                       srebrnkasti lupinar                            PU
      65. Amaníta muscária (L.) Lam. (1783)                                 rdeča mušnica                                   S
      66. Amaníta muscária var. auréola (Kalchbr.) Quél.. (1886)            rdeča mušnica, ogoljeni različek                S
      67. Amaníta ovoídea (Bull.) Link (1833)                               jajčasta mušnica                            U, RS
      68. Amaníta panthérina (DC.) Krombh. (1846)                           panterjeva mušnica                              S
      69. Amaníta panthérina var. abíetum (E.-J. Gilbert) Veselý (1933)     panterjeva mušnica, jelkin različek             S
      70. Amaníta phalloídes (Vaill. ex Fr.) Link (1833)                    zelena mušnica                                 SS
      71. Amaníta porphýria Alb. & Schwein. (1805)                          porfirasta mušnica                              S
      72. Amaníta regális (Fr.) Michael (1904)                              rjava mušnica                                   S
      73. Amaníta rubéscens Pers. (1797)                                    rdečkasta mušnica                              PU
      74. Amaníta rubéscens var. ánnulosulphúrea Gillet (1874)              rdečkasta mušnica, žoltovenčni različek        PU
      75. Amaníta strobilifórmis (Paulet ex Vittad.) Bertill. (1866)        velikoluska mušnica                      U, Z, RS
      76. Amaníta subalpína M.M. Moser (1978)                               gorski lupinar                                 PU
      77. Amaníta submembranácea (Bon) Gröger (1979)                        sivolupinasti lupinar                          PU
      78. Amaníta vagináta (Bull.) Fr. (1783)                               sivi lupinar                                   PU
      79. Amaníta vagináta var. álba (De Seynes) Gillet (1874)              sivi lupinar, beli različek                    PU
      80. Amaníta vérna (Bull.) Lam. (1783)                                 pomladanska mušnica                     SS, Z, RS
      81. Amaníta virósa (Fr.) Bertill. (1866)                              koničasta mušnica                              SS

 8.     AMPULLOCLITÓCYBE                                                 LIVKARICE
      82. Ampulloclitócybe clávipes (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys (2002) betičasta livkarica         PU, 342

 9.     AMYLOSTÉREUM                                                     SLOJEVCI
      83. Amylostéreum areolátum (Chaillet ex Fr.) Boidin (1958)              smrekov slojevec                           NU

10.     ANTRÓDIA                                                         TRHLICE
      84. Antródia álbida (Fr.) Donk (1966)                                   belkasta trhlica                           NU
      85. Antródia seriális (Fr.) Donk (1966)                                 vrstna trhlica                             NU

11.     ANTRODÍELLA                                                      TRHLIČKE
      86. Antrodíella frágrans (A. David & Tortić) A. David & Tortić (1986)   dišeča trhlička                        NU, RS
      87. Antrodíella hoehnélii (Bres.) Niemelä (1982)                        bukova trhlička                            NU
      88. Antrodíella semisupína (Berk. & M.A. Curtis) Ryvarden (1980)        slojevita trhlička                         NU

12.     ARMILLÁRIA                                                       MRAZNICE
      89. Armillária boreális Marxm. & Korhonen (1982)                        severnjaška mraznica                       PU
      90. Armillária cepistípes Velen. (1920)                                 čebulasta mraznica                         PU
      91. Armillária gállica Marxm. & Romagn. (1987)                          rumenovenčna mraznica                      PU
      92. Armillária méllea (Vahl) P. Kumm. (1871)                            sivorumena mraznica                        PU
